FIPS,Total Population,California County,ZIP,Approximate Location,Longitude,Latitude,CES 4.0 Score
6037573100,7547,Los Angeles,90806,Long Beach,-118.197509,33.7998434,48.72
6037570603,5172,Los Angeles,90805,Long Beach,-118.1623214,33.8571712,48.72
6037552301,4482,Los Angeles,90650,Norwalk,-118.0648469,33.9126443,48.71
6037119342,2911,Los Angeles,91402,Los Angeles,-118.4472671,34.2407688,48.67
6037900804,3359,Los Angeles,93534,Lancaster,-118.1407,34.7127333,48.63
6037191301,2224,Los Angeles,90029,Los Angeles,-118.2865853,34.0923345,48.57
6037575202,4175,Los Angeles,90813,Long Beach,-118.1704604,33.7858671,48.51
6037134903,6919,Los Angeles,91303,Los Angeles,-118.5916957,34.1924692,48.46
6037404803,1719,Los Angeles,91706,Baldwin Park,-117.9659888,34.0671875,48.45
6037600602,2542,Los Angeles,90303,Inglewood,-118.3307594,33.9416202,48.44
6037197500,3914,Los Angeles,90026,Los Angeles,-118.2572428,34.0726632,48.40
6037134305,4183,Los Angeles,91304,Los Angeles,-118.6016952,34.217634,48.38
6037190201,2632,Los Angeles,90028,Los Angeles,-118.329714,34.1033578,48.37
6037603500,3042,Los Angeles,90249,Gardena,-118.3208781,33.8993747,48.35
6037212203,2914,Los Angeles,90005,Los Angeles,-118.2903562,34.0597622,48.33
6037603301,3617,Los Angeles,90247,Gardena,-118.3062127,33.8840986,48.31
6037208301,2148,Los Angeles,90026,Los Angeles,-118.2658492,34.0619781,48.30
6037575902,5208,Los Angeles,90802,Long Beach,-118.1952012,33.7723157,48.30
6037197420,3564,Los Angeles,90026,Los Angeles,-118.2571856,34.0832,48.28
6037900806,4634,Los Angeles,93534,Lancaster,-118.1419762,34.69644,48.28
6037576301,4165,Los Angeles,90813,Long Beach,-118.1886964,33.7789685,48.23
6037402903,4363,Los Angeles,91766,Pomona,-117.7335433,34.039394,48.23
6037500700,7150,Los Angeles,90660,Pico Rivera,-118.0983071,34.0000986,48.22
6037543802,6478,Los Angeles,90745,Carson,-118.2697206,33.8293509,48.21
